i,m,g,N,a,m,e
M,e,a,n
M,e,a,n
M,e,a,n
V,a,r
V,a,r
V,a,r
10302194511151052OD1.png,0.5556450338924632,0.2613229639389935,0.1386178858139936,0.3003310763719987,0.16029584768622598,0.08920577371848985
10302194511151052OD2.png,0.4771511152678845,0.21583676805683213,0.11500330906288296,0.2701955436097127,0.14720724276811376,0.0791611780450757
10302194511151052OS1.png,0.5025089637905944,0.21259370691636034,0.10861665314319086,0.2733715371665487,0.12559230084743592,0.0647650803060645
10302194511151052OS2.png,0.4217602000517004,0.1717303406958486,0.09007792753331803,0.2365616368766176,0.1213216143818996,0.06149182131971039
171215-014_20180706_104647_Color_R_001.png,0.37021732704312194,0.15166404574525125,0.08555522245519302,0.22842706015645034,0.10252966858805483,0.050271697120833195
171215-014_20180706_104758_Color_L_001.png,0.4892612083285462,0.24057657578412225,0.1464473350375306,0.26820033193171305,0.14131620377913098,0.08506442796738417
171215-014_20180718_152156_Color_R_001.png,0.508828301523246,0.28844181135589003,0.17326369940065872,0.28509543664049375,0.17358253893824177,0.11155579262625372
171215-014_20180718_152231_Color_L_001.png,0.4656128228879442,0.24166400385837927,0.14328397863051473,0.27204538500865616,0.15374419661019692,0.09325214713623003
180313-14_20180313_124709_Color_L_001.png,0.4986712287454045,0.23871877333697156,0.14121784883386948,0.2919970297616296,0.16736766557844765,0.10735938845028407
180313-14_20180313_124800_Color_R_001.png,0.5351655847886029,0.2778566697064567,0.1641789006251915,0.30660375777017795,0.19456879459859366,0.1310460372625903
180313-14_20181026_113611_Color_R_001.png,0.49302214080212164,0.23915414249195774,0.1422572416417739,0.2947310294656379,0.1627854196907422,0.0980441723476923
180313-14_20181026_113644_Color_L_001.png,0.48616829666436895,0.22395068897920492,0.13041637645048254,0.29464280676372334,0.15493831397971305,0.09123501732727803
180323-018_20180323_130148_Color_L_001.png,0.42822279088637405,0.19628605562097887,0.11536832323261333,0.2530483177106173,0.1288059887269857,0.07276587601561682
180323-018_20180323_130225_Color_L_001.png,0.35555113250134024,0.17368427351409316,0.10955678902420343,0.2347127696909322,0.1470227982424266,0.09429408810981132
180323-018_20180629_093844_Color_R_001.png,0.5969327590044808,0.3042529685824525,0.17864282645431223,0.33569017706868276,0.20687471496995818,0.13140849130702
180323-018_20180629_094059_Color_R_001.png,0.5723542456533395,0.28862217921836697,0.1725631414675245,0.324231268776407,0.19888422719595777,0.12604087508709
180413-004_20180413_090356_Color_L_001.png,0.5291203816731772,0.236244785084444,0.13832674213484222,0.3033854878969735,0.1514478269144718,0.08712188402785674
180413-004_20180413_090428_Color_L_001.png,0.4504863963407629,0.19391334384095432,0.12188400567746631,0.25946679037847026,0.12463468585321959,0.07286333872650785
180413-004_20180413_090501_Color_R_001.png,0.5551902023016236,0.2872973722570082,0.1735641180300245,0.31175370123644824,0.18733427012310952,0.1262367912371269
180413-004_20180413_090536_Color_R_001.png,0.5426424363080192,0.26763313143861056,0.15745785283107386,0.31179995908571884,0.17419792004031476,0.10960766704068813
180612-03_20180612_101603_Color_L_001.png,0.5055273168227252,0.2884781033385034,0.1845131967581955,0.2668481128470225,0.16312264030244455,0.11765703788864959
180612-03_20180612_101705_Color_R_001.png,0.5571074093089384,0.3349737429151349,0.2206470863491881,0.30551226055119085,0.21109689373018153,0.16046514625703046
180612-03_20180612_101827_Color_R_001.png,0.5351991840437347,0.2999108258415671,0.19103866277956494,0.30169079854254277,0.19762654462068427,0.1420520326889765
180612-03_20180713_095234_Color_L_001.png,0.4981582043217676,0.2788006502039293,0.17261913523954503,0.2668579672280248,0.15071399413899675,0.09609484681492893
180626-09_20180626_114036_Color_L_001.png,0.1978052176681219,0.12847091076420802,0.09554759006874235,0.15331127762983854,0.10880970205224286,0.0768335193077828
180626-09_20180626_114155_Color_R_001.png,0.34639445286171117,0.29063741646560964,0.24366399727615654,0.21215138894016466,0.20416226656671563,0.17658224583119156
180626-09_20180626_114308_Color_R_001.png,0.3297294467103247,0.28975325939702046,0.24528063605813422,0.1927373275139753,0.1913670364404115,0.16517825196195837
180626-09_20180626_114454_Color_L_001.png,0.46561603920132505,0.36437422808478853,0.29628732718673406,0.2898460826194624,0.26983752700241675,0.23420990694196592
180626-09_20180626_114541_Color_L_001.png,0.29160237031824454,0.21267926085229014,0.17539847878848805,0.17677686106583593,0.13859169419585368,0.11363899343837623
180626-09_20180626_114625_Color_R_001.png,0.32902787152458646,0.26506286321901806,0.21508510813993564,0.22261760964821423,0.21712568615855393,0.18418306018216923
180710-09_20180710_140140_Color_L_001.png,0.5126052856445311,0.30780430214077825,0.19666344137752761,0.2853608939765014,0.19314627514491006,0.14076209209933147
180710-09_20180710_140212_Color_R_001.png,0.49321701947380514,0.2972635306564032,0.18892030902937346,0.27741038136189505,0.18018479875874763,0.12361228109956303
180710-09_20180713_163034_Color_L_001.png,0.4985234428854549,0.29568367752374386,0.18071918861538758,0.27205695916829425,0.17443646391498036,0.11885379158386765
180710-09_20180713_163351_Color_R_001.png,0.5183310714422488,0.3152572631835937,0.1939490224800858,0.28504796532580806,0.18901717179164806,0.13116198700962467
180712-21_20180712_112252_Color_L_002.png,0.47692739449295346,0.27109743006089154,0.15221536673751535,0.2549151263852621,0.14878681655245832,0.0847434086312176
180712-21_20180712_112417_Color_L_001.png,0.4422441669538909,0.2550889557483149,0.15308640423943012,0.24532219496663954,0.17067041005441486,0.1140898033487102
180712-21_20180712_112453_Color_L_001.png,0.4593377356435737,0.26486837349685965,0.1486622978659237,0.2427205118300946,0.14260756082697948,0.08080024154861414
180716-03_20180716_092328_Color_L_001.png,0.5502158969056372,0.31294990988338706,0.1930087070839078,0.3006971199201681,0.17310059211573434,0.10402298129294614
180716-03_20180716_092427_Color_L_001.png,0.44324722290039065,0.2520827499090456,0.16308954276290596,0.26284848121108817,0.1727048824316374,0.11255047236712759
180716-03_20180716_092544_Color_R_001.png,0.39833400950712317,0.24456293442670035,0.17222972196691172,0.24177868034006297,0.18103560453208495,0.1337339294922971
180716-03_20180716_100759_Color_R_001.png,0.4712041817459405,0.26526206521426926,0.16233909457337625,0.2691959063575631,0.15181810411856367,0.09002908536509534
180716-05_20180716_134101_Color_R_001.png,0.4009840871773514,0.21147151273839615,0.13615338194604013,0.23877636844844055,0.1479840783509335,0.09880525108384869
180716-05_20180716_134420_Color_R_001.png,0.3167001013662301,0.15983916637944243,0.10848013185987285,0.2074664035317595,0.1164570598097115,0.07793286843243823
180718-02_20180718_110618_Color_L_001.png,0.5240624371696921,0.26881405699486827,0.16427544986500459,0.3068317972432592,0.18249967992791252,0.11262404994842867
180718-02_20180718_110731_Color_R_001.png,0.5218143837124694,0.24599643782073372,0.14418860042796416,0.29868737009497087,0.16369209157640005,0.09830870049420351
180719-42_20180719_160557_Color_L_001.png,0.3942981196384805,0.2124639024921492,0.13263307459214158,0.22062315724629236,0.11735801435826691,0.07071307963412893
180911-13_20181011_161748_Color_L_001.png,0.5803336349188113,0.323015250411688,0.19019196454216458,0.3244967048008214,0.19243614958636918,0.11996868045814787
180911-13_20181011_161909_Color_R_001.png,0.576442434273514,0.31062179266237744,0.16843493592505357,0.3076808299555601,0.17561634050315267,0.10018004862395107
181023-003_20181023_102532_Color_R_001.png,0.4866424710142847,0.23346918143478093,0.12619820389093137,0.27840792282085997,0.14354065652340686,0.07737800730238886
181023-003_20181023_102713_Color_R_001.png,0.3912913453345205,0.17633312449735752,0.10042621388154871,0.22427319159772743,0.11239763966909691,0.060061970398406106
181023-004_20181023_110746_Color_L_001.png,0.5778361152200139,0.3224767647537531,0.1800222209855622,0.30847386825435463,0.19545837557604942,0.11967042317035466
