i,m,g,N,a,m,e
M,e,a,n
V,a,r
8000.jpg,0.3644346349379595,0.20885125660213072
8001.jpg,0.3496487785788144,0.20092197677039267
8002.jpg,0.2858941171683516,0.17533886129922058
8003.jpg,0.3038810729980469,0.18079257048924258
8004.jpg,0.4350468803854549,0.23881148606830577
8005.jpg,0.4044790679333257,0.2253111958961427
8006.jpg,0.3420735826679304,0.2182586643049652
8007.jpg,0.35165886972464777,0.2309394783508316
8008.jpg,0.3323895473106235,0.21542914196853513
8009.jpg,0.33547593659045655,0.2220884008102669
8010.jpg,0.34576416015624983,0.20369265445601473
8011.jpg,0.38383462943282776,0.2129007465720714
8012.jpg,0.33966807945101873,0.22350052467324866
8013.jpg,0.36573184144263177,0.21473890208032934
8014.jpg,0.38959889131433817,0.2207713045395439
8015.jpg,0.2344795227050781,0.16248771198491205
8016.jpg,0.3725080602309282,0.22591653640548975
8017.jpg,0.38574151431812964,0.2088447852187257
8018.jpg,0.35562566121419265,0.2078532971604426
8019.jpg,0.31752694821825217,0.20708989439589223
8020.jpg,0.27581297930549187,0.19094197025617887
8021.jpg,0.39057546877393545,0.21523318327467045
8022.jpg,0.42281266754748764,0.23327848866723788
8023.jpg,0.4230931899126838,0.24273222428802188
8024.jpg,0.35140472112917426,0.21447157229474487
8025.jpg,0.34540966258329514,0.21731761664267615
8026.jpg,0.32283631867053464,0.17683871524751543
8027.jpg,0.29701746024337466,0.16863104460884495
8028.jpg,0.44854489494772515,0.24928463670125908
8029.jpg,0.29295838299919585,0.1880974597041891
8030.jpg,0.3705583310594746,0.19825546978415037
8031.jpg,0.33470013188380826,0.20309142157106422
8032.jpg,0.4112601336310892,0.2312226627657213
8033.jpg,0.3865722506654029,0.218161610171556
8034.jpg,0.3942404055127911,0.21956952681373865
8035.jpg,0.33378379672181374,0.1943549870945737
8036.jpg,0.3194119621725644,0.18154776271907108
8037.jpg,0.4003295150457645,0.23488844964583128
8038.jpg,0.4101598851821002,0.23963626760802223
8039.jpg,0.36062146355124086,0.21166481980305576
8040.jpg,0.36224891812193627,0.2104579356186592
8041.jpg,0.30545079848345585,0.1831347183552616
8042.jpg,0.527199629241345,0.24188877295066605
8043.jpg,0.48119566674325986,0.23088660062459418
8044.jpg,0.3508614484001609,0.22823341442893808
8045.jpg,0.3598504159964768,0.23314723277637311
8046.jpg,0.3213277779373468,0.19064523806399447
8047.jpg,0.46748359530579797,0.19548644980946514
8048.jpg,0.4062669941023284,0.2416453382650932
8049.jpg,0.3148440192727482,0.20886384531912291
9000.jpg,0.4464504017549402,0.29493493721665154
9001.jpg,0.4150902392817478,0.24996527927416035
9002.jpg,0.3359888413373162,0.22587381327853845
9003.jpg,0.34663676841586233,0.20361922587977582
9004.jpg,0.40817893533145666,0.25487858417929166
9005.jpg,0.38548120236864264,0.24179806958956176
9006.jpg,0.40437463498583026,0.2507036809605947
9007.jpg,0.3158969953948375,0.19517114699221888
9008.jpg,0.40934796800800405,0.2683411672274383
9009.jpg,0.42964863496668215,0.2705361441711943
9010.jpg,0.32101996926700377,0.2334188104846525
9011.jpg,0.3373303432090609,0.21538644278262908
9012.jpg,0.44806560441559434,0.2738350681405857
9013.jpg,0.4007667391907935,0.244753599229595
9014.jpg,0.4172497020048253,0.2582189863400339
9015.jpg,0.46725151211607674,0.2845516305182786
9016.jpg,0.3562569861318551,0.25702301882265016
9017.jpg,0.36485405716241576,0.2597885327955752
9018.jpg,0.3587865044088924,0.19949233632139426
9019.jpg,0.370124547621783,0.2560620197404315
9020.jpg,0.5065327962239583,0.2938910966653516
9021.jpg,0.36052760703890935,0.2194914106721144
9022.jpg,0.35991700116325825,0.25041712948680145
9023.jpg,0.42881550508386945,0.2949844890108558
9024.jpg,0.40036761713962926,0.25982966664878254
9025.jpg,0.4369220210056678,0.2532297542439388
9026.jpg,0.4126305224848729,0.2687378083794032
9027.jpg,0.39324402154660704,0.2484331404378852
9028.jpg,0.4090298671348423,0.26669602048474733
9029.jpg,0.4368134442497702,0.27486926631248215
9030.jpg,0.3716915654201134,0.25564799338633903
9031.jpg,0.346367166556564,0.252434091623303
9032.jpg,0.40376836739334404,0.2583817825472996
9033.jpg,0.36008148193359385,0.23535911258114245
9034.jpg,0.3940118079091989,0.2575783450915757
9035.jpg,0.32290269440295644,0.23500169107585614
9036.jpg,0.3825780232747396,0.2468611339074274
9037.jpg,0.38694049610811115,0.2160892514316863
9038.jpg,0.40893084956150416,0.22682388198950443
9039.jpg,0.36332548552868404,0.24074648731948872
9040.jpg,0.36862185609106907,0.24145316699583314
9041.jpg,0.29977817909390314,0.1993230394435859
m,0.374748843974368
v,0.228617185647844
